c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99
carbon,D,C,,D,C,,D,C,,D,C,,D,C,,Chlorophyll,,D,C,,D,C,,D,C,,D,C,,D,C,,P to C ratio,,D,C,,D,C,,D,C,,D,C,,D,C,,N to C ratio,,D,C,,D,C,,D,C,,D,C,,D,C,,N to P ratio,,D,C,,D,C,,D,C,,D,C,,D,C,,Chlorophyll,,D,C,,D,C,,D,C,,D,C,,D,C
12E,0.0912,15.2081,22E,0.0871,16.6438,38E,0.1114,19.3982,62E,0.0977,20.1872,144E,0.0856,19.3221,,,12E,0.0882,27.4904,22E,0.0847,13.0268,38E,0.1111,10.6112,62E,0.0984,5.9998,144E,0.0984,4.9038,,,12E,0.0889,4.6419,22E,0.0805,3.1588,38E,0.113,3.8262,62E,0.0954,3.5196,144E,0.0842,3.7507,,,12E,0.0905,175.642,22E,0.0901,163.2751,38E,0.1195,140.1409,62E,0.0976,131.4658,144E,0.0883,140.5642,,,12E,0.0904,37.7132,22E,0.0885,51.9045,38E,0.1038,36.7499,62E,0.0948,36.7932,144E,0.0889,35.939,,Nlimited,12E,0.1014,25.1966,22E,0.1195,13.9898,38E,0.1228,9.7341,62E,0.1198,6.7219,144E,0.12,4.1263
,0.1902,11.4402,,0.1577,16.0911,,0.2156,12.591,,0.1899,17.6955,,0.1892,18.2076,,,,0.1918,29.568,,0.1892,19.4773,,0.2185,7.6609,,0.2068,8.5636,,0.1886,4.3812,,,,0.1881,5.0864,,0.1078,3.6219,,0.2169,3.5224,,0.2105,4.2297,,0.1884,3.7667,,,,0.1905,253.6353,,0.1911,198.3237,,0.2203,175.3017,,0.2126,183.3897,,0.1905,130.3075,,,,0.1923,50.6644,,0.1924,40.8291,,0.2231,51.2086,,0.2096,43.6838,,0.1897,34.6086,,,,0.2008,47.6862,,0.2195,23.8124,,0.1991,16.6407,,0.1859,10.4062,,0.2088,8.1304
,,,,0.1891,12.6827,,0.3197,8.7561,,0.2128,14.7656,,0.2797,13.919,,,,,,,,,,0.3175,18.6984,,0.311,10.7656,,0.2783,5.8247,,,,,,,0.1619,3.9701,,0.4634,6.9566,,0.5122,5.9373,,0.7906,8.3041,,,,,,,,,,0.3241,195.9625,,0.3143,187.1854,,0.781,179.4844,,,,,,,,,,0.3261,34.9684,,0.3131,44.1504,,0.7792,21.5043,,,,,,,0.2411,28.1552,,0.3391,18.2237,,0.3311,13.0293,,0.3521,7.9494
,,,,0.2483,12.0795,,0.4613,8.7591,,0.2767,13.4152,,0.7816,8.3796,,,,,,,,,,0.4647,24.0795,,0.5096,13.9708,,0.7797,13.8041,,,,,,,0.1877,4.7734,,0.3201,5.5247,,0.3123,4.2865,,0.3113,3.8715,,,,,,,,,,0.4597,199,,0.5127,223.2155,,1.1115,230.1285,,,,,,,,,,0.4691,27.8069,,0.5142,37.5151,,1.1127,26.815,,,,,,,0.3411,32.0596,,0.4808,19.8592,,0.5131,16.6524,,0.4906,9.5838
,,,,,,,0.658,7.6213,,0.3101,10.9306,,1.1117,7.2614,,,,,,,,,,0.6616,30.1772,,0.6354,13.9148,,1.1117,13.2139,,,,,,,0.2492,5.6048,,0.6609,10.4917,,0.6389,6.9333,,1.1087,8.5222,,,,,,,,,,0.6639,205.4677,,0.6421,224.7861,,,,,,,,,,,,,0.6644,21.4401,,0.6431,33.0233,,,,,,,,,,0.5198,34.6951,,0.6385,25.2904,,0.67,19.4875,,0.661,10.7626
,,,,,,,0.9594,3.7737,,0.5098,10.4981,,,,,,,,,,,,,0.9642,33.6181,,0.9301,21.999,,,,,,,,,,,,,0.9597,17.0835,,0.9281,10.4365,,,,,,,,,,,,,0.9626,291.3857,,0.9302,259.2055,,,,,,,,,,,,,0.9661,16.663,,0.9296,24.359,,,,,,,,,,,,,,,,0.8732,24.4422,,0.9193,14.8031
,,,,,,,,,,0.6362,9.4177,,,,,,,,,,,,,,,,1.1026,28.9193,,,,,,,,,,,,,1.146,17.7952,,1.0965,15.624,,,,,,,,,,,,,,,,1.097,252.4883,,,,,,,,,,,,,,,,1.0996,16.2812,,,,,,,,,,,,,,,,1.1585,28.4926,,1.2181,19.4814
,,,,,,,,,,0.927,5.8302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.0994,1.6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
